Grassland A|草原A
Grassland A (Dark)|草原A（濃）
Grassland B|草原B
Grassland B (Dark)|草原B（濃）
Forest|森
Forest (Conifer)|森（針葉樹）
Hill (Grass)|丘（草）
Mountain (Dirt)|山（土）
Wasteland A|荒れ地A
Wasteland B|荒れ地B
Dirt Field A|土肌A
Dirt Field B|土肌B
Forest (Dead Trees)|森（枯れ木）
Road (Dirt)|道（土）
Hill (Dirt)|丘（土）
Mountain (Rock)|山（岩）
Desert A|砂漠A
Desert B|砂漠B
Rocky Land A|岩地A
Rocky Land B (Lava)|岩地B（溶岩）
Forest (Palm Trees)|森（ヤシの木）
Road (Paved)|道（舗装）
Hill (Sandstone)|丘（砂岩）
Mountain (Sandstone)|山（砂岩）
Snowfield|雪原
Hill (Snow)|丘（雪）
Clouds|雲
Large Clouds|大きな雲
Forest (Snow)|森（雪）
Pit|穴
Hill (Rock)|丘（岩）
Mountain (Snow)|山（雪）
