Ground A (Dirt Cave)|床A（土洞窟）
Ground B (Grass Maze)|床B（草迷宮）
Dark Ground A (Dirt Cave)|濃い床A（土洞窟）
Dark Ground B (Grass Maze)|濃い床B（草迷宮）
Hole A (Dirt Cave)|穴A（土洞窟）
Hole B (Grass Maze)|穴B（草迷宮）
Hole I (Stone Floor)|穴I（石の床）
Ground Cracks|床のひび割れ
Ground C (Rock Cave)|床C（岩洞窟）
Ground D (Crystal)|床D（水晶）
Dark Ground C (Rock Cave)|濃い床C（岩洞窟）
Dark Ground D (Crystal)|濃い床D（水晶）
Hole C (Rock Cave)|穴C（岩洞窟）
Hole D (Crystal)|穴D（水晶）
Hole J|穴J
Soil on Ground|床の汚れ
Ground E (Lava Cave)|床E（溶岩洞窟）
Ground F (In Body)|床F（体内）
Dark Ground E (Lava Cave)|濃い床E（溶岩洞窟）
Rug A|じゅうたんA
Hole E (Lava Cave)|穴E（溶岩洞窟）
Hole F (In Body)|穴F（体内）
Fencepost|柵
Moss on Ground|床の苔
Ground G (Ice Cave)|床G（氷洞窟）
Ground H (Demonic World)|床H（魔界）
Dark Ground G (Ice Cave)|濃い床G（氷洞窟）
Rug B|じゅうたんB
Hole G (Ice Cave)|穴G（氷洞窟）
Hole H (Demonic World)|穴H（魔界）
Raised Stone|石段
Poison Swamp|毒の沼
